Abreviatura;Curso
ASIR1;Administración de Sistemas Informáticos en Red
ASIR2;Administración de Sistemas Informáticos en Red
AF1;Administración y Finanzas
AF2;Administración y Finanzas
ESO1;Educación Secundaría Obligatoria
ESO2;Educación Secundaría Obligatoria
ESO3;Educación Secundaría Obligatoria
ESO4;Educación Secundaría Obligatoria
SA1;Servicios Administrativos
SA2;Servicios Administrativos
SC1;Servicios Comerciales
SC2;Servicios Comerciales
AUXM;Técnico en Cuidados Auxiliares de Enfermería
AUXT;Técnico en Cuidados Auxiliares de Enfermería
AUX1;Técnico en Cuidados Auxiliares de Enfermería
AUX2;Técnico en Cuidados Auxiliares de Enfermería
IT1;Instalaciones de Telecomunicaciones
IT2;Instalaciones de Telecomunicaciones
FAR1;Farmacia y Parafarmacia
FAR2;Farmacia y Parafarmacia
GA1;Gestión Administrativa
GA2;Gestión Administrativa
DAF1;Administración y Finanzas
DAF2;Administración y Finanzas
OL1;Operaciones de Laboratorio
OL2;Operaciones de Laboratorio
APSD1;Atención a Personas en Situación de Dependencia
APSD2;Atención a Personas en Situación de Dependencia
AC1;Actividades Comerciales
AC2;Actividades Comerciales
GMNTL1;Guía en el Medio Natural y de Tiempo Libre
GMNTL2;Guía en el Medio Natural y de Tiempo Libre
ASCT1;Animación Sociocultural y Turística
ASCT2;Animación Sociocultural y Turística
EI1;Educación Infatil
EI2;Educación Infatil
HBD1;Higiene Bucodental
HBD2;Higiene Bucodental
IDMN1;Imagen para el Diagnóstico y Medicina Nuclear
IDMN2;Imagen para el Diagnóstico y Medicina Nuclear
IS1;Integración Social
IS2;Integración Social
QSA1;Química y Salud Ambiental
QSA2;Química y Salud Ambiental
TL2;Transporte y Logística
TL1;Transporte y Logística
CIE1;Bachillerato de Ciencias
CIE2;Bachillerato de Ciencias
HCS1;Bachillearto de Humanidades y Ciencias Sociales
HCS2;Bachillearto de Humanidades y Ciencias Sociales
